"m.z"	"r.t"	"p.value"	"t.score"
125.5294	175.2	0.261664547	1.126072538
125.5328	239.9	0.447251248	0.761836423
125.9641	188.8	0.177922618	-1.352561323
125.9642	191.6	0.577934579	0.557597899
125.9723	155.9	0.027979261	-2.216340065
125.9862	188.9	0.000791834	-3.414334814
126.0219	88.3	0.438085821	0.77882947
126.0296	173.2	0.56606044	0.575000313
126.0331	188	0.124124219	-1.546693396
126.055	277.4	0.466595422	-0.731152296
126.0662	64.7	0.163942121	1.398086681
126.0914	278.6	0.00135795	-3.257871675
126.5251	127	0.011669398	-2.558484912
126.8953	58.9	0.012721485	2.519534039
126.9554	245.4	0.106666693	1.622497531
126.9643	209.4	0.985744538	0.017897843
126.972	193.1	0.894960473	-0.132242065
126.9872	164.5	0.00028107	3.722116508
127.0213	89.9	0.131225658	-1.520679708
127.0253	88.8	0.216612866	1.24186578
127.0298	147.4	0.620459586	-0.49707958
127.039	273.5	0.21031836	1.258426633
127.0727	267.2	0.037238975	-2.102728277
127.0753	275.3	0.00322076	2.993030885
127.0753	30.3	0.617561887	-0.500503145
127.0978	66.6	0.003532278	2.967725496
127.1117	266.6	0.020774463	2.332927831
127.2726	146.6	0.695844903	-0.391739063
127.5146	145.8	0.004420511	2.88645637
127.9721	242.7	0.097636748	-1.667474323
128.0183	111.8	0.309933878	-1.01963807
128.0454	275.5	0.439033681	-0.775992961
128.0544	172.8	0.018084589	2.385982226
128.0706	234.5	0.020226693	-2.346918382
128.0762	156.5	0.761027327	-0.304765033
128.1069	234.1	0.723265601	0.354817547
128.1433	62.7	0.962869492	-0.046622148
128.3765	190.1	0.171035888	-1.374444341
128.5778	155.9	0.377325413	-0.886749255
128.9507	229.3	0.324012676	-0.988985733
128.9711	274.3	0.171798123	-1.373559003
128.998	90.5	0.405670221	-0.835130589
129.0522	283	0.92377363	-0.095818655
129.0546	272.2	0.469984446	-0.724096165
129.0546	29.3	0.158817517	-1.416991722
129.0658	127.1	0.455259363	-0.748668053
129.091	29.1	0.79988578	0.253914464
129.091	273.4	0.012187977	2.532702576
129.1022	165.5	0.138111906	1.489967057
129.1103	32.7	0.024959294	2.268156812
129.1103	270.1	0.071514197	1.814478656
129.1134	161.2	0.179871676	1.346678754
129.1274	259.6	0.343697509	-0.94961223
129.5089	130	0.358469894	0.921312979
129.5244	160.9	0.15478901	-1.429052699
129.5817	161.3	0.024675286	-2.280011044
129.9513	269.6	0.258073615	1.134844962
129.9541	272.4	0.607040595	0.515336825
129.9586	156.8	0.037741528	-2.093894873
129.979	196.1	0.800894066	0.252567313
130.008	261.2	0.879053742	0.152411282
130.0223	127.7	0.567462058	0.573812523
130.0499	120.9	0.676834744	0.417778086
130.0652	96	0.701772433	-0.383726506
130.0687	139.1	0.951062909	-0.061467927
130.0775	127.5	0.618812989	-0.49877878
130.0863	146.2	0.184761877	1.331997811
130.0975	114	0.066658525	1.849327301
130.1227	56.7	0.204047197	1.276217139
130.159	98.8	0.000227365	3.766259826
