m.z	p.value	t.score
791.3962	0.003565276	3.412447286
708.8822	0.003612343	-3.406232591
134.0364	0.003624344	-3.40466085
88.03868	0.00363104	-3.403786151
564.1236	0.003664608	3.399425242
616.9361	0.003691053	3.396017602
620.4187	0.00372645	-3.391494057
187.0528	0.003791389	-3.383305285
192.0314	0.003847819	3.376301742
1069.627	0.003875511	-3.372902181
635.3751	0.003907401	3.369016962
499.0124	0.003919463	-3.367555516
252.8796	0.003948146	-3.364098438
468.8169	0.004028807	-3.354508335
307.1498	0.004065725	3.350182498
251.0412	0.004127197	-3.343065134
167.0563	0.004175199	-3.337580203
711.1919	0.00418784	-3.336146126
613.0747	0.004193505	3.3355049
136.0741	0.004268498	3.327095905
769.8916	0.004365697	-3.316412267
740.0023	0.004428639	-3.309618999
490.1005	0.004521294	-3.299790931
742.2878	0.004589347	3.29269862
756.2754	0.004610208	3.290545404
199.0427	0.004674025	3.284017786
199.9744	0.004715802	3.279792167
420.0796	0.004737641	-3.2775979
139.0278	0.00474276	3.277085016
665.2	0.004831582	-3.268272024
332.9076	0.004866838	-3.264818294
678.9017	0.005017998	3.250285354
232.9609	0.005044336	-3.247797553
629.01	0.005066597	-3.24570482
99.98731	0.005125558	-3.240205494
146.0262	0.00520599	3.232803555
238.0697	0.005222361	3.231310808
241.1399	0.005263844	3.22754892
199.1	0.005319897	-3.222511967
1115.131	0.005403174	-3.215124598
418.2183	0.005429424	3.212819258
191.9613	0.005464307	3.209772729
425.1517	0.005571682	3.200514215
355.0078	0.005591484	3.198826024
176.1154	0.005611275	-3.197144601
451.0725	0.005629043	-3.195640083
392.1461	0.005669771	-3.19220898
843.8387	0.005716097	-3.188335642
191.9336	0.005826572	-3.179222318
130.6948	0.005890048	-3.174062873
693.4816	0.006018441	3.163792101
200.5451	0.00608455	-3.158587621
653.8532	0.006167312	3.152150107
598.7261	0.006286345	-3.143038809
386.0927	0.006352083	-3.138079497
402.7759	0.006378628	-3.136091235
938.8029	0.006431035	3.132189622
332.3297	0.006480932	-3.128503872
186.0415	0.006540633	-3.124130384
255.5814	0.006592577	3.120356974
182.9163	0.006661166	3.11541892
397.1575	0.006748371	3.109212342
685.9258	0.006753851	3.108824955
545.8961	0.0068034	3.1053362
184.9455	0.006849103	-3.102140376
225.0894	0.006907881	-3.098060842
204.9917	0.007027498	3.089863083
642.8598	0.007104152	3.08468147
147.0759	0.007208104	-3.077741529
287.1822	0.007336827	-3.069282734
140.01	0.007353741	-3.068182144
245.0756	0.007357632	3.067929316
169.1327	0.007440447	3.062578718
159.9461	0.007451875	-3.061844948
266.0479	0.007468738	-3.060764228
314.106	0.007505889	3.05839171
252.0717	0.007535286	3.056522521
265.0285	0.007558118	-3.05507571
