"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"113.03381" "40.86" "0.000553365709361266" "4.54419049270322" "0.66405" "1.36211515186029" "0.131888251961105" "0.700442348596951" "2.02378795512363" "negative"
"113.0702" "55.03" "0.809668120561911" "-0.481276454992396" "-0.0010791" "-0.144261987394982" "0.09899139709569" "-0.747968124374328" "0.459444149584364" "negative"
"113.9872" "90.07" "0.490257831250964" "-1.14909997311192" "-0.3451" "-0.344441212772948" "0.285802771378046" "-0.951378211131612" "0.262495785585716" "negative"
"114.0261" "41.25" "0.00092099890949295" "4.3593947909396" "0.67995" "1.30672288215349" "0.140070076518499" "0.649531767452771" "1.96391399685421" "negative"
"114.9475" "227.3" "0.612568367879432" "0.893274158037651" "3.9794" "0.267757759579423" "0.608736408722791" "-0.337630974064933" "0.873146493223778" "negative"
"114.9785" "94.64" "0.766159989306153" "-0.577080490211643" "-0.10165" "-0.172979121544846" "0.1802427435945" "-0.776986862304697" "0.431028619215006" "negative"
"115.0018" "33.6" "0.136421063570185" "-2.1390387476262" "-0.47023" "-0.641174064607636" "0.379560078169831" "-1.25766898605197" "-0.0246791431633021" "negative"
"115.0382" "40.99" "0.528117517356457" "1.06699849977096" "-0.10575" "0.319831403609502" "0.324566627435919" "-0.286566898385265" "0.926229705604269" "negative"
"115.919" "243.73" "0.0819138077663151" "-2.43371685939096" "-0.82425" "-0.729503442876633" "0.425428603512728" "-1.34991195091341" "-0.109094934839858" "negative"
"116.0021" "33.44" "0.468034850433378" "1.19963803036475" "0.12272" "0.359589929280367" "0.551011472537173" "-0.247698256339101" "0.966878114899835" "negative"
"116.0336" "226.76" "0.973910214065012" "0.0746024985444293" "0.58906" "0.0223620012843152" "0.388775729896711" "-0.580671162126634" "0.625395164695265" "negative"
"116.0416" "37.4" "0.309368859323167" "-1.57193824269313" "-0.1313" "-0.471186430586282" "0.112596782212776" "-1.08151895487679" "0.139146093704231" "negative"
"116.0487" "102.81" "0.768746084930308" "-0.566380746221824" "2.3825" "-0.16977188728982" "0.937585218294037" "-0.773743243225059" "0.434199468645418" "negative"
"116.0699" "43.42" "0.156064651413849" "-2.06037092144705" "-0.21331" "-0.617593486686314" "0.115260949591822" "-1.23312513334612" "-0.00206184002650245" "negative"
"116.9054" "122.61" "0.000213732352173455" "-4.86442380961355" "-0.59799" "-1.45810466942001" "0.120571609114372" "-2.127906603645" "-0.78830273519502" "negative"
"116.9577" "96.25" "0.865039178165365" "-0.366722883506" "-0.081645" "-0.10992470429211" "0.126310381006529" "-0.713341748369062" "0.493492339784842" "negative"
"116.9706" "228.02" "0.645550970750721" "-0.821386282271069" "-0.083555" "-0.246209462919337" "0.297699843129003" "-0.85123236130302" "0.358813435464347" "negative"
"116.9707" "40.14" "0.591448303887518" "-0.929990965174314" "-0.098668" "-0.278763574456481" "0.220430018493139" "-0.884350901151409" "0.326823752238447" "negative"
"117.0025" "244.12" "0.517894273892754" "-1.08840832765634" "-0.20024" "-0.326248971492764" "0.297586844241499" "-0.932783948899016" "0.280286005913488" "negative"
"117.0086" "31.29" "0.954446033741513" "-0.137595747356094" "-0.11503" "-0.0412441451576964" "0.672834950690254" "-0.644317122507035" "0.561828832191642" "negative"
"117.0175" "31.9" "0.870094348760588" "-0.355413280179339" "-0.013445" "-0.10653466549917" "0.102347595007848" "-0.709927398033353" "0.496858067035014" "negative"
"117.0176" "226.4" "0.0898166699949506" "-2.37812478373217" "-0.29588" "-0.712839790967718" "0.12299714528251" "-1.33247335081257" "-0.0932062311228657" "negative"
"117.0539" "41.25" "0.0241608783964694" "3.03764833410873" "0.68168" "0.910531111879358" "0.266425353825255" "0.280628583138838" "1.54043364061988" "negative"
"118.0492" "40.62" "0.922743817163697" "-0.224811732657399" "-0.2525" "-0.0673870225863806" "0.586682965432346" "-0.670554133468647" "0.535780088295886" "negative"
"118.9024" "122.61" "0.000189190631853843" "-4.91429414951716" "-0.60244" "-1.47305323852603" "0.121173078556809" "-2.14416167262312" "-0.801944804428954" "negative"
"118.9225" "298.06" "0.969367254401795" "0.0927528932405186" "-0.27424" "0.0278025583356726" "0.47715058725018" "-0.575239652733864" "0.63084476940521" "negative"
"118.925" "222.35" "0.531857393357435" "-1.05388587333391" "-0.10136" "-0.315900910999371" "0.59714412080783" "-0.922216830851664" "0.290415008852922" "negative"
"118.928" "290.26" "0.929989780024828" "0.206056680339252" "0.10533" "0.0617652202043057" "0.490629267910839" "-0.541377825514022" "0.664908265922633" "negative"
"118.9309" "273.58" "0.686042389056402" "-0.739440628633609" "-0.040001" "-0.221646360508047" "0.373931220467164" "-0.826289419430609" "0.382996698414515" "negative"
"118.9401" "228.24" "0.85507587504289" "-0.384731684451412" "0.62011" "-0.115322818802047" "0.800876165666295" "-0.718780144814898" "0.488134507210803" "negative"
"118.9499" "37.24" "0.00032780942441038" "-4.71796749203227" "-0.44423" "-1.41420457993576" "0.0949086973106876" "-2.08023239356622" "-0.748176766305306" "negative"
"118.9645" "245.03" "0.902027283456188" "0.280675744811931" "0.054736" "0.084132187103929" "0.543385453210361" "-0.519119010898153" "0.687383385106011" "negative"
"119.0331" "34.3" "0.711758844991861" "0.690599154769893" "1.4766" "0.207006192650695" "0.706428097443059" "-0.397429342802162" "0.811441728103553" "negative"
"119.0407" "98.06" "0.0819138077663151" "-2.43379203136116" "-1.2857" "-0.7295259755763" "0.73734728970546" "-1.34993554296302" "-0.109116408189584" "negative"
"119.0524" "40.63" "0.913847055577854" "0.250741954889079" "0.85823" "0.0751595727577676" "0.886150093667903" "-0.528044258726843" "0.678363404242379" "negative"
"119.9225" "237.28" "0.759268425753952" "-0.596208305689638" "-0.21908" "-0.178712659196139" "0.235730497270275" "-0.782787135726233" "0.425361817333955" "negative"
"119.9311" "222.69" "0.242141919492337" "-1.75998278385575" "-0.3741" "-0.527552535650212" "0.458651323317623" "-1.13972621019286" "0.0846211388924349" "negative"
"119.9743" "35.6" "0.577715356550891" "0.958697112326127" "0.19298" "0.287368204489003" "0.178958145342784" "-0.318379910931582" "0.893116319909589" "negative"
"120.0276" "31.84" "0.450413304108742" "-1.24296577786491" "-0.15019" "-0.372577364877687" "0.100080723572554" "-0.980178494981013" "0.235023765225638" "negative"
"120.0436" "41.09" "3.91951309721431e-06" "6.22195665696935" "1.0551" "1.86502336340974" "0.157271582101377" "1.15600945284294" "2.57403727397654" "negative"
"120.8995" "122.62" "0.000180676716349714" "-4.92970586469605" "-0.59159" "-1.47767287997703" "0.11581844531901" "-2.14918724620991" "-0.806158513744153" "negative"
"120.9836" "108.77" "0.886424458193582" "0.309806521331953" "0.046585" "0.0928640992337337" "1.08589647567824" "-0.510438313767362" "0.696166512234829" "negative"
"120.9946" "37.63" "0.606756774343107" "0.903236709178245" "0.95706" "0.270744021242875" "0.478283218809827" "-0.334697813304647" "0.876185855790397" "negative"
"120.9947" "115.73" "0.703362451931057" "0.70697402863834" "0.4746" "0.211914539658117" "0.553320538165714" "-0.392588999563093" "0.816418078879326" "negative"
"121.0309" "31.84" "0.434530389954526" "-1.27646775179901" "-0.21819" "-0.382619537710481" "0.289234919214922" "-0.990470139037032" "0.22523106361607" "negative"
"121.0488" "43.43" "0.910417487655845" "-0.259664090320306" "-0.025551" "-0.0778339711742378" "0.139741629864919" "-0.681051362997136" "0.525383420648661" "negative"
"121.0641" "102.03" "0.763298071758145" "-0.583813674151719" "-0.077768" "-0.174997384617172" "0.371238720174474" "-0.779028369711828" "0.429033600477484" "negative"
"121.9977" "37.99" "0.526091620284346" "-1.07008562900502" "-0.6943" "-0.320756766556371" "0.308982411514739" "-0.927174610430654" "0.285661077317912" "negative"
"121.998" "115.79" "0.183066186165533" "1.95477128662903" "0.56795" "0.585940134379119" "0.387035040082467" "-0.0283529866891727" "1.20023325544741" "negative"
"122.0311" "108.14" "0.795424384141104" "-0.512568307378316" "-0.063641" "-0.15364167918675" "0.501043679219252" "-0.757440338341117" "0.450156979967618" "negative"
"122.0594" "228.49" "0.504099292003691" "-1.11657973285185" "-0.24033" "-0.334693313323858" "0.208934610781112" "-0.941412218766541" "0.272025592118825" "negative"
"122.0837" "43.29" "0.946686119500234" "0.157716369631632" "-0.00025089" "0.0472752753469735" "0.0522385580895086" "-0.555815399069983" "0.65036594976393" "negative"
"122.9677" "238.63" "0.276343558589029" "1.66338703358166" "0.15052" "0.49859808594901" "0.301108127293949" "-0.112604549660736" "1.10980072155876" "negative"
"122.9906" "115.84" "0.75960978708612" "0.594208469534443" "0.85088" "0.178113210926397" "0.42076493135459" "-0.425954186791529" "0.782180608644324" "negative"
"123.0352" "31.75" "0.732030136277365" "0.656989585025798" "0.1481" "0.196931768114697" "0.208843862332425" "-0.407369158500176" "0.801232694729571" "negative"
"123.0596" "40.53" "0.698410698811093" "0.714100227094784" "0.18226" "0.21405060831727" "0.316541674295322" "-0.390483020745735" "0.818584237380275" "negative"
"123.0798" "102.67" "2.87731495823294e-05" "-5.56955404479616" "-1.139" "-1.66946653440329" "0.255062022920299" "-2.35871616585085" "-0.980216902955725" "negative"
"123.9004" "239.61" "0.932079901171829" "-0.199470024875509" "0.0325" "-0.059790878850955" "0.432468395414173" "-0.662925969905624" "0.543344212203714" "negative"
