#NAME	GSM1432676	GSM1432677	GSM1432646	GSM1432647	GSM1432648
#CLASS	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED
67979	-0.0292058	0.27268982	-0.59393644	-0.19501257	-0.4138546
15370	-0.010833025	0.11090922	-0.1409719	-0.20236373	-0.08647084
207686	-0.156379939	-0.166584492	0.237492085	0.589786285	0.030893804
56503	-0.4447689	-0.2816596	0.10345936	0.083890915	0.040471554
23797	0.108480096	-0.00200045	0.30013287	0.110224125	0.19394982
20303	-0.470984455	-0.40043044	2.0960233	1.46906995	1.1117723
108156	-0.2516594	0.12198973	-1.5022974	-1.327467	-1.115974
12228	0.044603705	0.035382628	-0.125089288	-0.17400825	-0.064591765
268396	-0.08488488	-0.089534044	1.1593363	0.93176484	0.49793983
12522	-0.16812849	-0.1250472	0.63122034	0.99882936	0.16711998
107566	0.023355959	0.019248805	0.032397587	0.096304101	0.170873165
319446	0.02340579	0.004216909	0.19874835	0.03174615	0.05799985
13909	0.266324677	0.37749942	-2.273367867	-2.1268236	-1.908893433
333182	0.042490722	0.11703801	-0.081970453	-0.21516872	-0.042220593
68015	0.23797059	0.35149646	-0.8448169	-0.724983	-0.6749909
13008	-0.18318415	0.06445503	0.44393778	0.63025427	-0.051047325
21941	-0.026318431	-0.280949485	0.64250051	0.420084355	0.970149619
11364	0.08298969	0.37335253	-1.529727	-0.9061289	-0.93257
67442	1.1511304	0.871619925	-2.652709	-2.7387235	-2.30324955
246221	0.09431553	0.2393713	-0.573823	-0.4750738	-0.40688467
